,symbol,date,volume,market.cap,sector,industry,exchange
56,TXG,29/11/2019,39800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
57,TXG,02/12/2019,69200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
58,TXG,03/12/2019,58400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
59,TXG,04/12/2019,91200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
60,TXG,05/12/2019,158400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
61,TXG,06/12/2019,131800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
62,TXG,09/12/2019,178200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
63,TXG,10/12/2019,254600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
64,TXG,11/12/2019,252900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
65,TXG,12/12/2019,181000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
66,TXG,13/12/2019,113100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
67,TXG,16/12/2019,203200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
68,TXG,17/12/2019,178900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
69,TXG,18/12/2019,365000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
70,TXG,19/12/2019,785400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
71,TXG,20/12/2019,1224000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
72,TXG,23/12/2019,970100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
73,TXG,24/12/2019,107300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
74,TXG,26/12/2019,188700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
75,TXG,27/12/2019,322500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
76,TXG,30/12/2019,149600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
77,TXG,31/12/2019,164800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
78,TXG,02/01/2020,220200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
79,TXG,03/01/2020,288300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
80,TXG,06/01/2020,220600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
81,TXG,07/01/2020,182400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
82,TXG,08/01/2020,172100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
83,TXG,09/01/2020,183600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
84,TXG,10/01/2020,295800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
85,TXG,13/01/2020,196800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
86,TXG,14/01/2020,152100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
87,TXG,15/01/2020,308000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
88,TXG,16/01/2020,126000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
89,TXG,17/01/2020,140700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
90,TXG,21/01/2020,207500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
91,TXG,22/01/2020,395200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
92,TXG,23/01/2020,197300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
93,TXG,24/01/2020,328100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
94,TXG,27/01/2020,334900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
95,TXG,28/01/2020,245400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
96,TXG,29/01/2020,284800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
97,TXG,30/01/2020,370200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
98,TXG,31/01/2020,214700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
99,TXG,03/02/2020,141200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
100,TXG,04/02/2020,152500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
101,TXG,05/02/2020,114300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
102,TXG,06/02/2020,125800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
103,TXG,07/02/2020,222500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
104,TXG,10/02/2020,97700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
105,TXG,11/02/2020,286700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
106,TXG,12/02/2020,137700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
107,TXG,13/02/2020,121900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
108,TXG,14/02/2020,265600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
109,TXG,18/02/2020,288200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
110,TXG,19/02/2020,992300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
111,TXG,20/02/2020,279000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
112,TXG,21/02/2020,618400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
